===========================================================================
🔍 语义重叠自动审计报告 (MECE Compliance)
===========================================================================
总 Skill 数: 174
高重叠阈值: 0.7  |  中重叠阈值: 0.55

🔴 高重叠风险 (sim >= 0.7): 3139 对
---------------------------------------------------------------------------
Skill A                             Skill B                                相似度 同域
---------------------------------------------------------------------------
openai-whisper                      openai-whisper-api                   0.929 ✗跨域
hyperframes                         hyperframes-media                    0.917 ✓
story-long-write                    story-short-write                    0.911 ✓
apple-notes                         apple-reminders                      0.892 ✓
gog                                 goplaces                             0.892 ✗跨域
skill-hitrate-full-audit            skill-hitrate-improvement-pipeline   0.883 ✓
skill-hitrate-full-audit            skill-trigger-diagnosis              0.882 ✓
skill-hitrate-full-audit            skill-routing-test-driven-fix        0.882 ✓
skill-hitrate-improvement-pipeline  skill-routing-test-driven-fix        0.880 ✓
canvas-design                       ui-ux-pro-max                        0.879 ✓
notion                              xurl                                 0.874 ✗跨域
gh-issues                           notion                               0.873 ✗跨域
gh-issues                           oracle                               0.873 ✗跨域
apple-notes                         bear-notes                           0.872 ✓
c-cleanup                           sq-cleanmgr-c                        0.872 ✓
eightctl                            peekaboo                             0.871 ✓
1password                           gog                                  0.869 ✗跨域
openai-whisper                      sag                                  0.869 ✓
apple-notes                         things-mac                           0.867 ✗跨域
goplaces                            things-mac                           0.867 ✗跨域
gifgrep                             goplaces                             0.865 ✗跨域
byted-seedance-video-generate       byted-seedream-image-generate        0.864 ✓
1password                           openai-whisper                       0.863 ✗跨域
goplaces                            ordercli                             0.863 ✓
node-inspect-debugger               python-debugpy                       0.862 ✓
1password                           notion                               0.862 ✓
openai-whisper-api                  xurl                                 0.861 ✗跨域
notion                              things-mac                           0.861 ✗跨域
html-ppt                            pptx                                 0.861 ✗跨域
gifgrep                             gog                                  0.861 ✓
_my-skills                          skill-manager                        0.860 ✓
skill-routing-regeneration          skill-routing-test-driven-fix        0.860 ✓
gog                                 sag                                  0.860 ✗跨域
gh-issues                           things-mac                           0.859 ✗跨域
gog                                 trello                               0.859 ✗跨域
eightctl                            goplaces                             0.858 ✗跨域
byted-mediakit-shared               hyperframes-media                    0.857 ✗跨域
1password                           gh-issues                            0.857 ✗跨域
gog                                 openai-whisper                       0.857 ✗跨域
1password                           ordercli                             0.857 ✗跨域
goplaces                            trello                               0.856 ✗跨域
openai-whisper                      peekaboo                             0.856 ✗跨域
skill-hitrate-full-audit            skill-routing-regeneration           0.856 ✓
openai-whisper                      openhue                              0.855 ✗跨域
apple-reminders                     things-mac                           0.854 ✗跨域
blucli                              eightctl                             0.854 ✗跨域
coding-agent                        gh-issues                            0.854 ✗跨域
1password                           trello                               0.854 ✗跨域
blucli                              things-mac                           0.854 ✗跨域
hyperframes-cli                     hyperframes-registry                 0.854 ✓
gh-issues                           goplaces                             0.853 ✓
eightctl                            gog                                  0.853 ✓
apple-reminders                     peekaboo                             0.853 ✗跨域
story-long-analyze                  story-short-analyze                  0.853 ✓
1password                           session-logs                         0.853 ✗跨域
clawhub                             find-skills                          0.853 ✗跨域
goplaces                            notion                               0.852 ✗跨域
skill-hitrate-improvement-pipeline  skill-routing-regeneration           0.852 ✓
fenjue-cc-audit-cycle               openclaw-fenjue-weekly               0.852 ✗跨域
coding-agent                        things-mac                           0.851 ✗跨域
1password                           things-mac                           0.851 ✗跨域
eightctl                            gifgrep                              0.851 ✓
himalaya                            openai-whisper                       0.851 ✗跨域
frontend-skill                      frontend-slides                      0.851 ✗跨域
ordercli                            trello                               0.851 ✗跨域
goplaces                            peekaboo                             0.850 ✗跨域
blucli                              gog                                  0.850 ✗跨域
docx                                pptx                                 0.850 ✓
bear-notes                          things-mac                           0.850 ✗跨域
gh-issues                           ordercli                             0.849 ✓
1password                           goplaces                             0.849 ✗跨域
blucli                              goplaces                             0.848 ✓
notion                              openai-whisper-api                   0.848 ✗跨域
gog                                 peekaboo                             0.848 ✓
byted-seedance-video-generate       hyperframes-media                    0.847 ✗跨域
node-inspect-debugger               oracle                               0.847 ✗跨域
goplaces                            openai-whisper                       0.847 ✗跨域
skill-routing-regeneration          skill-trigger-diagnosis              0.846 ✓
coding-agent                        notion                               0.846 ✗跨域
1password                           peekaboo                             0.845 ✗跨域
coding-agent                        goplaces                             0.845 ✗跨域
openai-whisper                      trello                               0.845 ✗跨域
bear-notes                          gog                                  0.845 ✗跨域
algorithmic-art                     frontend-slides                      0.845 ✗跨域
gh-issues                           session-logs                         0.845 ✓
story-long-scan                     story-short-scan                     0.845 ✓
algorithmic-art                     frontend-skill                       0.844 ✓
himalaya                            things-mac                           0.844 ✗跨域
doc-coauthoring                     docx                                 0.844 ✓
notion                              openai-whisper                       0.844 ✗跨域
session-logs                        trello                               0.844 ✗跨域
gog                                 ordercli                             0.844 ✗跨域
apple-notes                         goplaces                             0.844 ✓
notion                              trello                               0.843 ✗跨域
eightctl                            trello                               0.843 ✗跨域
eightctl                            notion                               0.843 ✗跨域
algorithmic-art                     canvas-design                        0.843 ✓
coding-agent                        oracle                               0.842 ✗跨域
byted-seedream-image-generate       frontend-skill                       0.842 ✗跨域
openai-whisper-api                  trello                               0.842 ✗跨域
byted-seedream-image-generate       canvas-design                        0.841 ✗跨域
ordercli                            things-mac                           0.841 ✗跨域
gh-issues                           tmux                                 0.840 ✗跨域
things-mac                          trello                               0.840 ✗跨域
coding-agent                        ordercli                             0.840 ✗跨域
eightctl                            things-mac                           0.840 ✗跨域
blucli                              openai-whisper                       0.839 ✗跨域
goplaces                            openai-whisper-api                   0.839 ✗跨域
bear-notes                          goplaces                             0.839 ✓
eightctl                            openai-whisper                       0.839 ✗跨域
coding-agent                        model-usage                          0.839 ✗跨域
peekaboo                            trello                               0.839 ✗跨域
bear-notes                          trello                               0.839 ✗跨域
gifgrep                             trello                               0.839 ✗跨域
gh-issues                           github                               0.838 ✗跨域
model-usage                         notion                               0.838 ✗跨域
create-skill                        skill-creator                        0.838 ✗跨域
apple-notes                         peekaboo                             0.838 ✗跨域
openai-whisper                      video-frames                         0.837 ✗跨域
blucli                              ordercli                             0.837 ✓
eightctl                            ordercli                             0.837 ✗跨域
story-short-scan                    story-short-write                    0.837 ✓
model-usage                         oracle                               0.837 ✗跨域
